OIA request,Date received,Date replied,Due date,Comments,Extension date
1,2018-05-23,2018-08-02,2018-08-02,EXT (30 DAYS),2018-06-21
2,2018-05-31,2018-07-12,2018-07-13,EXT (10 DAYS),2018-06-26
3,2018-06-06,2018-07-28,2018-07-28,EXT (20 DAYS),2018-07-04
4,2018-06-06,2018-08-02,2018-08-03,,
5,2018-06-06,2018-07-03,2018-07-04,,
6,2018-06-08,2018-07-04,2018-07-06,,
7,2018-06-08,2018-07-03,2018-07-06,,
8,2018-06-09,2018-07-06,2018-07-07,,
9,2018-06-09,2018-07-07,2018-07-07,,
10,2018-06-13,2018-07-07,2018-07-11,,
11,2018-06-13,2018-07-11,2018-07-11,,
12,2018-06-14,2018-07-31,2018-08-02,EXT (15 DAYS),2018-07-11
13,2018-06-14,2018-07-12,2018-07-12,,
14,2018-06-15,2018-07-17,2018-07-19,CLARIFIED,
15,2018-06-15,2018-07-13,2018-07-13,,
16,2018-06-16,2018-07-05,2018-07-14,,
17,2018-06-16,2018-07-03,2018-07-14,,
18,2018-06-16,2018-07-12,2018-07-14,,
19,2018-06-17,2018-07-07,2018-07-14,,
20,2018-06-19,2018-07-04,2018-07-17,,
21,2018-06-19,2018-07-12,2018-07-17,,
22,2018-06-19,2018-07-14,2018-07-17,,
23,2018-06-20,,2018-07-25,WD,
24,2018-06-20,2018-07-18,2018-07-18,,
25,2018-06-21,2018-07-18,2018-07-19,,
26,2018-06-21,2018-07-13,2018-07-19,,
27,2018-06-21,2018-07-19,2018-07-19,,
28,2018-06-21,2018-07-19,2018-07-19,,
29,2018-06-22,2018-07-17,2018-07-20,,
30,2018-06-22,2018-07-05,2018-07-20,,
31,2018-06-22,2018-07-20,2018-07-20,,
32,2018-06-24,2018-07-27,2018-08-07,EXT (11 DAYS),2018-07-18
33,2018-06-26,2018-07-17,2018-07-24,,
34,2018-06-26,2018-07-11,2018-07-24,,
35,2018-06-26,2018-07-03,2018-07-24,,
36,2018-06-27,2018-07-12,2018-07-25,WD,
37,2018-06-27,2018-07-20,2018-07-25,,
38,2018-06-27,2018-07-10,2018-07-25,,
39,2018-06-27,2018-07-20,2018-07-25,,
40,2018-06-28,2018-07-25,2018-07-26,,
41,2018-06-28,2018-07-21,2018-07-26,,
42,2018-06-28,2018-07-14,2018-07-26,,
43,2018-06-28,2018-08-08,2018-08-09,EXT (10 DAYS),2018-07-26
44,2018-06-29,2018-07-27,2018-07-27,,
45,2018-06-29,2018-07-10,2018-07-27,,
46,2018-06-29,2018-07-27,2018-07-27,,
47,2018-06-29,2018-07-06,2018-07-27,,
48,2018-06-30,2018-07-10,2018-07-28,,
49,2018-07-02,2018-07-27,2018-07-28,,
50,2018-07-02,2018-07-12,2018-07-28,,
51,2018-07-03,2018-07-27,2018-07-31,,
52,2018-07-03,2018-07-26,2018-07-31,,
53,2018-07-03,2018-07-10,2018-07-10,,
54,2018-07-03,2018-07-28,2018-07-31,,
55,2018-07-04,2018-08-01,2018-08-01,,
56,2018-07-04,2018-07-25,2018-08-01,,
57,2018-07-04,2018-07-24,2018-08-01,,
58,2018-07-04,2018-07-28,2018-08-01,,
59,2018-07-04,2018-07-05,2018-08-01,,
60,2018-07-04,2018-08-01,2018-08-01,,
61,2018-07-05,2018-07-27,2018-08-02,,
62,2018-07-05,2018-07-31,2018-08-02,,
63,2018-07-05,2018-08-09,2018-08-09,EXT (5 DAYS),2018-07-26
64,2018-07-05,2018-07-21,2018-08-02,,
65,2018-07-05,2018-07-13,2018-08-02,,
66,2018-07-06,2018-07-31,2018-08-03,,
67,2018-07-06,2018-07-31,2018-08-03,,
68,2018-07-07,2018-08-04,2018-08-04,,
69,2018-07-09,2018-07-26,2018-08-04,,
70,2018-07-10,2018-08-04,2018-08-04,,
71,2018-07-10,2018-07-14,2018-08-07,,
72,2018-07-10,2018-08-23,2018-08-23,,
73,2018-07-10,2018-08-02,2018-08-07,,
74,2018-07-10,2018-08-09,2018-08-09,,
75,2018-07-12,2018-08-09,2018-08-09,,
76,2018-07-12,2018-07-27,2018-08-09,,
77,2018-07-13,2018-07-28,2018-08-10,,
78,2018-07-14,2018-08-30,2018-08-25,LATE + EXT (10 DAYS),2018-08-08
79,2018-07-14,2018-08-11,2018-08-11,,
80,2018-07-14,2018-08-01,2018-08-11,,
81,2018-07-15,2018-08-04,2018-08-11,,
82,2018-07-17,2018-08-10,2018-08-14,,
83,2018-07-17,2018-08-11,2018-08-14,,
84,2018-07-17,2018-08-04,2018-08-14,,
85,2018-07-19,2018-07-26,2018-08-16,,
86,2018-07-19,2018-08-10,2018-08-14,,
87,2018-07-20,2018-07-26,2018-08-17,,
88,2018-07-20,2018-08-04,2018-08-17,,
89,2018-07-20,2018-08-15,2018-08-17,,
90,2018-07-20,2018-08-17,2018-08-17,,
91,2018-07-20,2018-08-15,2018-08-17,,
92,2018-07-21,2018-07-26,2018-08-18,,
93,2018-07-21,2018-08-11,2018-07-31,,
94,2018-07-21,2018-10-02,2018-08-18,LATE,
95,2018-07-22,2018-07-27,2018-08-18,,
96,2018-07-22,2018-08-15,2018-08-18,,
97,2018-07-22,2018-08-15,2018-08-18,,
98,2018-07-24,2018-08-21,2018-08-21,,
99,2018-07-24,,2018-08-21,WD,
100,2018-07-24,,2018-08-21,WD,
101,2018-07-24,2018-08-03,2018-08-21,,
102,2018-07-24,2018-08-03,2018-08-21,,
103,2018-07-24,2018-08-18,2018-08-21,,
104,2018-07-25,2018-08-22,2018-08-22,,
105,2018-07-25,2018-08-04,2018-08-22,,
106,2018-07-26,2018-08-02,2018-08-23,,
107,2018-07-26,2018-08-18,2018-08-23,,
108,2018-07-26,,2018-08-23,WD,
109,2018-07-26,2018-08-17,2018-08-23,,
110,2018-07-26,2018-08-09,2018-08-23,,
111,2018-07-26,2018-08-15,2018-08-29,,
112,2018-07-27,2018-08-24,2018-08-24,,
113,2018-07-27,2018-08-24,2018-08-24,,
114,2018-07-27,2018-08-18,2018-08-24,,
115,2018-07-27,2018-08-22,2018-08-24,,
116,2018-07-27,2018-08-07,2018-08-24,,
117,2018-07-27,2018-08-02,2018-08-21,,
118,2018-07-27,2018-08-22,2018-08-24,,
119,2018-07-28,2018-08-18,2018-08-25,,
120,2018-07-28,2018-08-15,2018-08-25,,
121,2018-07-28,2018-08-17,2018-08-18,,
122,2018-07-31,2018-08-23,2018-08-28,,
123,2018-07-31,2018-08-28,2018-08-28,,
124,2018-07-31,2018-08-09,2018-08-28,,
125,2018-08-01,2018-08-22,2018-08-29,,
126,2018-08-01,2018-08-02,2018-08-29,,
127,2018-08-01,2018-08-15,2018-08-29,,
128,2018-08-01,2018-08-18,2018-08-28,,
129,2018-08-01,2018-08-23,2018-08-28,,
130,2018-08-02,2018-08-25,2018-08-30,,
131,2018-08-03,2018-08-22,2018-08-31,,
132,2018-08-03,2018-08-23,2018-08-31,,
133,2018-08-03,2018-09-12,2018-09-14,EXT (10 DAYS),2018-08-28
134,2018-08-03,2018-08-31,2018-08-31,,
135,2018-08-03,2018-08-14,2018-08-31,PARTIAL TRANSFER,
136,2018-08-04,2018-08-22,2018-09-01,,
137,2018-08-06,2018-09-01,2018-09-01,,
138,2018-08-07,2018-09-01,2018-09-04,,
139,2018-08-07,2018-09-01,2018-09-04,,
140,2018-08-07,2018-09-04,2018-09-04,,
141,2018-08-07,2018-09-01,2018-09-04,,
142,2018-08-07,2018-08-18,2018-09-04,,
143,2018-08-07,2018-08-23,2018-09-04,,
144,2018-08-07,2018-08-09,2018-09-04,,
145,2018-08-07,2018-09-04,2018-09-04,,
146,2018-08-08,2018-08-30,2018-09-05,,
147,2018-08-08,2018-09-04,2018-09-05,,
148,2018-08-08,2018-08-28,2018-09-05,,
149,2018-08-09,2018-08-16,2018-09-06,,
150,2018-08-09,2018-08-30,2018-09-06,,
151,2018-08-10,2018-09-07,2018-09-07,,
152,2018-08-10,2018-08-16,2018-09-07,,
153,2018-08-10,2018-09-01,2018-09-07,,
154,2018-08-11,2018-08-25,2018-09-08,,
155,2018-08-11,2018-10-11,2018-09-08,LATE + WD,
156,2018-08-14,2018-08-21,2018-09-11,,
157,2018-08-14,2018-10-09,2018-09-12,LATE,
158,2018-08-14,2018-10-09,2018-09-11,LATE,
159,2018-08-14,2018-08-21,2018-09-11,,
160,2018-08-15,2018-09-05,2018-09-12,,
161,2018-08-15,2018-08-25,2018-09-12,,
162,2018-08-15,2018-09-12,2018-09-12,,
163,2018-08-15,2018-09-11,2018-09-12,,
164,2018-08-15,2018-08-30,2018-09-12,,
165,2018-08-15,2018-09-14,2018-09-26,,
166,2018-08-16,2018-09-08,2018-09-13,,
167,2018-08-16,2018-09-05,2018-09-13,,
168,2018-08-17,2018-09-08,2018-09-14,,
169,2018-08-17,2018-08-28,2018-08-25,,
170,2018-08-18,2018-08-22,2018-09-15,,
171,2018-08-18,2018-08-25,2018-09-15,,
172,2018-08-18,2018-09-15,2018-09-15,,
173,2018-08-19,2018-08-28,2018-09-15,,
174,2018-08-20,2018-08-24,2018-09-15,,
175,2018-08-21,2018-08-24,2018-09-18,,
176,2018-08-21,2018-09-18,2018-09-18,,
177,2018-08-21,2018-08-28,2018-09-18,,
178,2018-08-21,2018-09-18,2018-09-18,,
179,2018-08-21,2018-09-01,2018-09-18,WD,
180,2018-08-22,2018-08-24,2018-09-19,,
181,2018-08-23,2018-09-18,2018-09-20,,
182,2018-08-23,2018-09-08,2018-09-20,,
183,2018-08-23,2018-09-19,2018-09-20,,
184,2018-08-23,2018-09-20,2018-09-20,,
185,2018-08-24,2018-10-05,2018-10-05,EXT (10 DAYS),2018-09-18
186,2018-08-24,2018-09-25,2018-09-25,,
187,2018-08-25,2018-09-21,2018-09-22,,
188,2018-08-25,2018-09-22,2018-09-22,,
189,2018-08-25,2018-09-18,2018-09-22,,
190,2018-08-25,2018-09-22,2018-09-22,,
191,2018-08-28,2018-09-25,2018-09-25,,
192,2018-08-28,2018-09-05,2018-09-15,,
193,2018-08-28,2018-09-15,2018-09-25,,
194,2018-08-28,2018-09-12,2018-09-25,,
195,2018-08-29,2018-09-19,2018-09-26,,
196,2018-08-30,2018-09-27,2018-09-27,,
197,2018-08-30,2018-09-08,2018-09-27,,
198,2018-08-30,2018-09-08,2018-09-27,,
199,2018-08-31,2018-10-20,2018-10-20,EXT(16 DAYS),2018-09-22
200,2018-09-01,2018-09-04,2018-09-29,,
201,2018-09-02,2018-09-21,2018-09-29,,
202,2018-09-03,2018-09-29,2018-09-29,,
203,2018-09-04,2018-09-26,2018-10-02,,
204,2018-09-04,2018-09-14,2018-10-02,,
205,2018-09-04,2018-10-02,2018-10-02,,
206,2018-09-04,2018-09-19,2018-10-03,,
207,2018-09-05,2018-09-28,2018-10-03,,
208,2018-09-05,2018-09-13,2018-10-03,,
209,2018-09-05,2018-10-02,2018-10-03,,
210,2018-09-06,2018-10-04,2018-10-04,,
211,2018-09-06,2018-10-03,2018-10-04,,
212,2018-09-06,2018-10-04,2018-10-04,,
213,2018-09-07,2018-10-05,2018-10-05,,
214,2018-09-07,2018-09-19,2018-10-05,,
215,2018-09-07,2018-10-05,2018-10-05,,
216,2018-09-07,2018-10-12,2018-10-19,EXT (10 DAYS),2018-10-05
217,2018-09-07,2018-09-27,2018-10-05,,
218,2018-09-07,2018-09-28,2018-10-05,,
219,2018-09-08,2018-11-20,2018-11-20,EXTENDED (30 DAYS),2018-10-03
220,2018-09-08,2018-09-11,2018-10-06,,
221,2018-09-08,2018-10-20,2018-10-20,EXT (10 DAYS),2018-10-04
222,2018-09-09,2018-09-20,2018-10-06,,
223,2018-09-10,2018-10-04,2018-10-06,,
224,2018-09-11,2018-10-06,2018-10-09,,
225,2018-09-11,2018-09-20,2018-10-09,,
226,2018-09-11,2018-10-06,2018-10-09,,
227,2018-09-11,2018-09-21,2018-10-09,,
228,2018-09-12,2018-10-06,2018-10-10,,
229,2018-09-12,2018-10-06,2018-10-10,,
230,2018-09-12,2018-10-09,2018-10-10,,
231,2018-09-13,2018-10-11,2018-10-11,,
232,2018-09-13,2018-10-24,2018-10-26,EXT (10 DAYS),2018-10-10
233,2018-09-13,2018-10-09,2018-10-11,,
234,2018-09-13,2018-10-04,2018-10-11,WD,
235,2018-09-15,2018-10-11,2018-10-13,,
236,2018-09-15,2018-11-06,2018-11-06,EXTENDED (15 DAYS),2018-10-12
237,2018-09-15,2018-11-06,2018-11-06,EXTENDED (15 DAYS),2018-10-12
238,2018-09-15,2018-10-13,2018-10-13,,
239,2018-09-15,2018-09-29,2018-10-13,,
240,2018-09-16,2018-10-20,2018-10-25,,
241,2018-09-17,2018-09-29,2018-10-13,,
242,2018-09-17,2018-10-11,2018-10-13,,
243,2018-09-18,2018-10-16,2018-10-16,,
244,2018-09-18,2018-10-03,2018-10-16,,
245,2018-09-20,2018-10-10,2018-10-18,,
246,2018-09-20,2018-09-27,2018-10-17,,
247,2018-09-21,2018-10-02,2018-10-19,,
248,2018-09-21,2018-10-10,2018-10-19,,
249,2018-09-21,2018-10-19,2018-10-19,,
250,2018-09-21,2018-10-06,2018-10-19,,
251,2018-09-22,2018-10-20,2018-10-20,,
252,2018-09-22,2018-10-19,2018-10-19,,
253,2018-09-22,2018-10-04,2018-10-19,WD,
254,2018-09-22,2018-10-31,2018-11-03,EXT (10 DAYS),2018-10-19
255,2018-09-25,2018-10-20,2018-10-20,,
256,2018-09-25,2018-10-09,2018-10-24,,
257,2018-09-25,2018-10-24,2018-10-24,,
258,2018-09-25,2018-10-02,2018-10-24,PARTIAL TRANSFER,
259,2018-09-25,2018-09-25,2018-10-20,,
260,2018-09-25,2018-11-02,2018-11-03,EXT (8 DAYS),2018-10-20
261,2018-09-25,2018-10-20,2018-10-24,,
262,2018-09-26,2018-10-12,2018-10-25,,
263,2018-09-26,2018-10-25,2018-10-26,,
264,2018-09-26,2018-10-12,2018-10-25,,
265,2018-09-26,2018-10-25,2018-10-25,,
266,2018-09-26,2018-10-11,2018-10-23,,
267,2018-09-26,2018-11-22,2018-11-23,EXT (21 DAYS),2018-10-24
268,2018-09-26,2018-11-03,2018-11-03,EXT (7 DAYS),2018-10-24
269,2018-09-26,2018-11-23,2018-11-23,EXT (20 DAYS),2018-10-25
270,2018-09-26,2018-10-20,2018-10-25,,
271,2018-09-28,2018-10-26,2018-10-27,,
272,2018-09-28,2018-09-29,2018-10-25,,
273,2018-09-28,2018-11-14,2018-11-17,EXT (15 DAYS),2018-10-27
274,2018-09-29,2018-10-30,2018-10-30,,
275,2018-09-30,2018-10-30,2018-10-30,,
276,2018-10-03,2018-10-12,2018-11-01,TFR - MoH,
277,2018-10-03,2018-11-22,2018-11-22,EXT (15 DAYS),2018-11-01
278,2018-10-03,2018-11-22,2018-11-22,EXT (15 DAYS),2018-11-01
279,2018-10-03,2018-10-31,2018-11-01,,
280,2018-10-05,2018-10-31,2018-11-03,,
281,2018-10-06,2018-10-25,2018-11-06,,
282,2018-10-06,2018-11-06,2018-11-06,,
283,2018-10-08,2018-10-24,2018-11-06,,
284,2018-10-08,2018-10-25,2018-11-06,,
285,2018-10-09,2018-11-21,2018-11-21,EXTENDED (10 DAYS),2018-11-03
286,2018-10-09,2018-11-20,2018-11-20,,
287,2018-10-09,2018-10-12,2018-11-07,,
288,2018-10-09,2018-10-19,2018-11-07,,
289,2018-10-10,2018-10-16,2018-11-08,,
290,2018-10-10,2018-11-08,2018-11-08,,
291,2018-10-10,2018-11-08,2018-11-08,,
292,2018-10-10,2018-11-24,2018-11-24,EXT (11 days),2017-11-07
293,2018-10-10,2018-11-22,2018-11-22,EXTENDED (10 DAYS),2018-11-02
294,2018-10-11,2018-10-26,2018-11-09,,
295,2018-10-11,2018-11-02,2018-11-09,,
296,2018-10-12,2018-10-24,2018-11-10,,
297,2018-10-12,2018-11-10,2018-11-10,,
298,2018-10-12,2018-10-24,2018-11-10,,
299,2018-10-13,2018-11-10,2018-11-13,,
300,2018-10-13,2018-10-24,2018-11-13,,
301,2018-10-13,2018-10-19,2018-11-09,,
302,2018-10-13,2018-10-31,2018-11-13,,
303,2018-10-14,2018-10-18,2018-11-13,,
304,2018-10-14,2018-11-13,2018-11-13,,
305,2018-10-15,2018-11-13,2018-11-13,,
306,2018-10-15,2018-11-27,2018-11-27,EXT 10 days,2018-11-13
307,2018-10-16,2018-11-02,2018-11-14,,
308,2018-10-16,2018-11-21,2018-11-28,EXT (10 DAYS),2018-11-13
309,2018-10-16,2018-11-14,2018-11-14,,
310,2018-10-16,2018-10-17,2018-11-14,WD,
311,2018-10-16,2018-10-30,2018-11-14,,
312,2018-10-16,2018-11-02,2018-11-14,,
313,2018-10-17,2018-11-13,2018-11-15,,
314,2018-10-17,2018-11-03,2018-11-15,,
315,2018-10-17,2018-10-26,2018-11-15,,
316,2018-10-18,2018-11-13,2018-11-16,,
317,2018-10-19,2018-11-03,2018-11-17,,
318,2018-10-19,2018-11-01,2018-11-01,,
319,2018-10-19,2018-11-29,2018-12-01,EXT (10 DAYS),2018-11-16
320,2018-10-19,2018-11-13,2018-11-17,,
321,2018-10-19,2018-11-14,2018-11-17,,
322,2018-10-19,2018-12-06,2018-12-08,EXT (10 DAYS),2018-11-06
323,2018-10-19,2018-11-13,2018-11-16,,
324,2018-10-19,2018-10-30,2018-11-16,,
325,2018-10-19,2018-10-31,2018-11-16,,
326,2018-10-19,2018-10-31,2018-11-17,,
327,2018-10-20,2018-11-20,2018-11-20,,
328,2018-10-21,2018-11-20,2018-11-20,,
329,2018-10-21,2018-10-31,2018-11-20,TFR,
330,2018-10-23,2018-11-20,2018-11-20,,
331,2018-10-23,2018-11-15,2018-11-20,,
332,2018-10-23,2018-11-15,2018-11-20,,
333,2018-10-25,2018-12-04,2018-12-06,EXT (10 DAYS),2018-11-22
334,2018-10-25,2018-11-20,2018-11-22,,
335,2018-10-26,2018-11-23,2018-11-23,,
336,2018-10-26,2018-11-07,2018-11-23,,
337,2018-10-26,2018-11-20,2018-11-23,,
338,2018-10-26,2018-11-02,2018-11-23,,
339,2018-10-26,2018-11-20,2018-11-23,,
340,2018-10-26,2018-11-17,2018-11-23,,
341,2018-10-27,2018-11-06,2018-11-24,,
342,2018-10-27,2018-12-08,2018-12-08,EXT (10 DAYS),2018-11-22
343,2018-10-27,2018-11-24,2018-11-24,,
344,2018-10-27,2018-11-16,2018-11-24,,
345,2018-10-30,2018-11-15,2018-11-27,,
346,2018-10-30,2018-11-06,2018-11-27,,
347,2018-10-31,2018-11-08,2018-11-28,,
348,2018-11-01,2018-11-29,2018-11-29,,
349,2018-11-01,2018-11-28,2018-11-29,,
350,2018-11-02,2018-11-20,2018-11-30,,
351,2018-11-03,2018-11-24,2018-12-01,WD,
352,2018-11-03,2018-12-01,2018-12-01,,
353,2018-11-03,2018-11-21,2018-12-01,,
354,2018-11-03,2018-11-29,2018-12-01,,
355,2018-11-03,2018-12-01,2018-12-01,,
356,2018-11-04,2018-11-30,2018-12-01,,
357,2018-11-05,2018-11-30,2018-12-01,,
358,2018-11-06,2018-11-14,2018-12-04,,
359,2018-11-06,2018-11-29,2018-12-04,,
360,2018-11-08,2018-12-01,2018-12-05,,
361,2018-11-08,2018-11-30,2018-12-06,,
362,2018-11-08,2018-11-30,2018-12-06,,
363,2018-11-08,2018-11-14,2018-12-05,,
364,2018-11-08,2018-11-21,2018-12-05,,
365,2018-11-08,2018-11-22,2018-12-06,,
366,2018-11-08,2018-11-13,2018-12-06,,
367,2018-11-09,2018-11-29,2018-12-07,,
368,2018-11-09,2018-12-05,2018-12-07,,
369,2018-11-09,2018-12-05,2018-12-07,,
370,2018-11-10,2018-12-18,2018-12-19,EXT (8 DAYS),2018-12-06
371,2018-11-11,2018-12-14,2018-12-22,EXT (10 DAYS),2017-11-21
372,2018-11-13,2018-12-05,2018-12-11,,
373,2018-11-14,2018-12-12,2018-12-12,,
374,2018-11-14,2018-12-12,2018-12-12,,
375,2018-11-14,2018-12-06,2018-12-12,,
376,2018-11-15,2018-12-05,2018-12-13,,
377,2018-11-15,2018-11-17,2018-12-13,,
378,2018-11-16,2018-12-07,2018-12-13,,
379,2018-11-16,2018-12-13,2018-12-14,,
380,2018-11-16,2018-11-30,2018-12-14,,
381,2018-11-16,2018-12-07,2018-12-14,,
382,2018-11-16,2018-12-13,2018-12-14,,
383,2018-11-17,2018-12-05,2018-12-15,,
384,2018-11-17,2018-12-15,2018-12-15,,
385,2018-11-17,2018-12-15,2018-12-15,,
386,2018-11-20,2018-12-18,2018-12-18,,
387,2018-11-20,2018-12-18,2018-12-18,,
388,2018-11-20,2018-12-18,2018-12-18,,
389,2018-11-21,2018-12-19,2018-12-19,,
390,2018-11-21,2018-12-18,2018-12-19,,
391,2018-11-22,2018-12-20,2018-12-20,,
392,2018-11-23,2018-12-18,2018-12-21,,
393,2018-11-23,2018-12-20,2018-12-21,,
394,2018-11-23,2018-12-21,2018-12-21,,
395,2018-11-23,2018-12-19,2018-12-21,,
396,2018-11-24,2018-12-21,2018-12-22,,
397,2018-11-24,2018-12-01,2018-12-22,,
398,2018-11-27,2018-12-07,2018-01-16,,
399,2018-11-28,2018-12-13,2018-01-17,,
400,2018-11-28,2018-12-01,2018-01-17,,
401,2018-11-28,2018-12-21,2018-01-17,,
402,2018-11-28,2018-12-20,2018-12-20,,
403,2018-11-28,2018-12-06,2018-01-16,,
404,2018-11-29,2018-12-21,2018-01-18,,
405,2018-12-01,2018-12-18,2018-01-19,WD,
406,2018-12-01,2018-12-22,2018-01-22,,
407,2018-12-01,2018-12-15,2018-01-22,,
408,2018-12-04,2018-12-22,2018-01-23,,
409,2018-12-04,2018-12-07,2018-01-23,,
410,2018-12-04,2018-12-22,2018-01-23,,
411,2018-12-06,2018-12-21,2018-01-25,,
412,2018-12-06,,2018-01-25,,
413,2018-12-08,2018-12-15,2018-01-29,TFR,
414,2018-12-11,2018-12-20,2018-01-30,,
415,2018-12-12,2018-12-21,2018-01-31,,
416,2018-12-13,2018-12-20,2018-02-01,TFR,
417,2018-12-19,,2018-02-08,,
418,2018-12-22,2018-12-22,2018-02-13,,