,,,,,,,,
,This information is released under the Official Information Act,,,,,,,
,,,,,,,,
No.,Date and Time Received,,Extended Y/N,Date Time and Extension was Communicated,Days Extended,Date and Time Responded,,Outcome
1,3/7/2017,9.40am,Y,31/07/2017 4.08pm,25,31/8/2017,9.53am,Released in part
2,1/7/2017,11.12pm,Y,28/07/2017 4.38pm,25,29/8/2017,5.14pm,Released in part
3,4/7/2017,9.27am,N,N/A,N/A,4/7/2017,5.31pm,Released in part
4,4/7/2017,1.54pm,N,N/A,N/A,13/7/2017,3.46pm,Released in part
5,7/7/2017,12.02pm,Y,4/08/2017 3.32pm,10,18/8/2017,4.43pm,Released in part
6,7/7/2017,9.43am,Y,4/08/2017 unknown,30,15/9/2017,5.13pm,Released in full
7,7/7/2017,4.04pm,Y,4/08/2017 4.47pm,20,29/8/2017,5.09pm,Released in part
8,7/7/2017,10.49am,Y,4/08/2017 3.39pm,20,23/8/2017,4.24pm,Released in part
9,10/7/2017,8.51pm,Y,7/08/2017 4.03pm,30,9/10/2017,3.40pm,Released in part
10,10/7/2017,2.53pm,Y,7/8/2017,20,29/8/2017,3.29pm,Released in full
11,13/7/2017,3.50pm,N,N/A,N/A,10/8/2017,4.21pm,Released in full
12,17/7/2017,1.12pm,Y,14/08/2017 5.11pm,20,18/8/2017,4.34pm,Released in part
13,17/7/2017,11.52am,N,N/A,N/A,27/7/2017,2.53pm,Refused
14,19/7/2017,1.35pm,N,N/A,N/A,10/8/2017,4.26pm,Released in full
15,21/7/2017,11.49am,N,N/A,N/A,18/8/2017,unknown,Released in full
16,28/7/2017,11.45am,Y,25/08/2017  4.54pm,30,6/10/2017,2.03pm,Released in part
17,28/7/2017,unknown,Y,29/08/2017 3.26pm,50,14/11/2017,9.54am,Released in part
18,29/7/2017,2.33pm,N,N/A,N/A,25/8/2017,3.58pm,Released in part
19,30/7/2017,1.28pm,Y,25/08/2017  4.23pm,20,29/9/2017,3.25pm,Released in part
20,31/7/2017,4.39pm,Y,28/08/2017 2.29pm,25,22/9/2017,4.27pm,Released in part
21,31/7/2017,12.18pm,N,N/A,N/A,28/8/2017,4.47pm,Released in full
22,2/8/2017,10.08am,Y,8/09/2017 12.18pm,25,22/9/2017,4.27pm,Released in full
23,4/8/2017,3.29pm,Y,1/09/2017 1.43pm,30,2/10/2017,3.14pm,Release in part
24,6/8/2017,8.41pm,N,N/A,N/A,15/8/2017,1.01pm,Refused
25,6/8/2017,1.28pm,Y,1/09/2017 1.45pm,30,11/10/2017,2.47pm,Released in part
26,7/8/2017,3.00pm,N,N/A,N/A,31/8/2017,5.10pm,Released in full
27,7/8/2017,9.13am,N,N/A,N/A,31/8/2017,4.28pm,Released in full
28,7/8/2017,4.38pm,Y,24/07/2017 2.39pm,10,18/9/2017,4.10pm,Released in part
29,8/8/2017,2.55pm,N,N/A,N/A,23/8/2017,5.07pm,Released in full
30,9/8/2017,7.27am,N,N/A,N/A,7/9/2017,10.16am,Released in full
31,16/8/2017,3.03pm,Y,13/09/2017 2.20pm,30,3/10/2017,4.05pm,Released in part
32,16/8/2017,11.19am,Y,13/09/2017 2.20pm,30,3/10/2017,4.04pm,Released in part
33,17/8/2017,5.05pm,Y,14/09/2017 1.20pm,30,26/9/2017,3.03pm,Released in part
34,21/8/2017,8.28am,Y,15/09/2017 4.50pm,20,13/10/2017,3.48pm,Released in part
35,23/8/2017,1.27pm,N,N/A,N/A,20/9/2017,3.51pm,Released in full
36,24/8/2017,2.05pm,Y,8/09/2017 2.12pm,25,26/9/2017,3.03pm,Released in part
37,24/8/2017,1.43pm,Y,8/09/2017 2.12pm,25,26/9/2017,3.03pm,Released in part
38,25/8/2017,5.36pm,N,N/A,N/A,6/9/2017,4.46pm,Released in full
39,25/8/2017,2.53pm,N,N/A,N/A,20/9/2017,3.50pm,Released in full
40,30/8/2017,8.54am,N,N/A,N/A,20/9/2017,2.52pm,Released in full
41,30/8/2017,2.13pm,N,N/A,N/A,18/9/2017,4.44pm,Refused
42,31/8/2017,3.55pm,N,N/A,N/A,20/9/2017,1.15pm,Released in full
43,1/9/2017,11.41am,Y,29/09/2017 1.42pm,20,3/10/2017,1.48pm,Released in full
44,1/9/2017,4.36pm,Y,29/09/2017 2.53pm,30,21/12/2017,3.50pm,Released in full
45,3/9/2017,11.49am,N,N/A,N/A,12/9/2017,12.14pm,Transfer in full
46,3/9/2017,11.49am,Y,29/09/2017 11.50am,20,3/10/2017,4.04pm,Release in part
47,13/9/2017,12.19pm,N,N/A,N/A,22/9/2017,2.25pm,Refused
48,15/9/2017,5.51pm,Y,13/10/2017 5.00pm,30,27/11/2017,4.59pm,Released in full
49,15/9/2017,10.19am,N,N/A,N/A,11/10/2017,3.02pm,Released in full
50,20/9/2017,3.32pm,N,N/A,N/A,12/10/2017,2.50pm,Released in full
51,20/9/2017,9.49am,N,N/A,N/A,12/10/2017,4.21pm,Released in full
52,25/9/2017,9.13am,Y,24/10/2017 5.06pm,20,15/11/2017,12.04pm,Released in part
53,4/10/2017,2.18pm,Y,2/11/2017 3.02pm,30,14/12/2017,5.35pm,Released in part
54,6/10/2017,8.54am,Y,6/11/2017 3.35pm,30,11/12/2017,4.19pm,Released in part
55,26/9/2017,12.01pm,Y,6/11/2017 2.07pm,30,7/12/2017,4.18pm,Released in part
56,9/10/2017,5.13pm,Y,7/11/2017 4.30pm,20,5/12/2017,4.54pm,Released in full
57,9/10/2017,2.43pm,Y,7/11/2017 1.45pm,30,18/12/2017,3.46pm,Released in part
58,11/10/2017,9.38am,N,N/A,N/A,16/10/2017,10.18am,Released in full
59,14/10/2017,4.42pm,N,N/A,N/A,24/10/2017,4.03pm,Section 10 of OIA
60,14/10/2017,4.39pm,Y,13/11/2017 3.58pm,30,4/12/2017,4.36pm,Released in part
61,17/10/2017,4.19pm,Y,15/11/2017 4.44pm,30,18/1/2018,5.09pm,Released in part
62,17/10/2017,3.41pm,N,N/A,N/A,15/11/2017,3.08pm,Released in part
63,19/10/2017,11.00am,N,N/A,N/A,15/11/2017,3.08pm,Released in part
64,20/10/2017,unknown,Y,20/11/2017 5.24pm,30,23/1/2018,4.27pm,Released in part
65,25/10/2017,8.40am,Y,22/11/2017 5.05pm,20,21/12/2017,3.50pm,Released in part
66,25/10/2017,5.12pm,Y,22/11/2017 5.49pm,20,7/12/2017,3.46pm,Refused
67,30/10/2017,12.04am,Y,27/11/2017 4.28pm,20,16/1/2018,3.03pm,Released in part
68,31/10/2017,6.20pm,Y,28/11/2017 1.22pm,45,22/2/2018,3.26pm,Released in part
69,31/10/2017,5.17pm,Y,28/11/2017 4.52pm,15,1/12/2017,4.51pm,Released in part
70,27/11/2017,3.42pm,Y,29/11/2017 3.02pm,45,22/2/2018,3.27pm,Released in part
71,10/11/2017,unknown,Y,29/11/2017 3.02pm,45,22/2/2018,3.27pm,Released in part
72,1/11/2017,4.32pm,N,N/A,N/A,29/11/2017,4.13pm,Released in full
73,1/11/2017,1.06pm,Y,29/11/2017 3.01pm,45,22/2/2018,3.27pm,Released in part
74,1/11/2017,9.27am,Y,29/11/2017 3.02pm,45,22/2/2018,3.27pm,Released in part
75,2/11/2017,10.58am,Y,30/11/2017 3.03pm,15,7/12/2017,3.46pm,Released in full
76,9/11/2017,9.07am,Y,7/12/2017 2.50pm,25,20/12/2017,3.47pm,Released in part
77,9/11/2017,9.07am,N,N/A,N/A,7/12/2017,4.09pm,Released in part
78,9/11/2017,7.07pm,Y,7/12/2017 5.20pm,20,26/1/2018,4.49pm,Released in part
79,11/11/2017,9.39am,N,N/A,N/A,20/11/2017,4.51pm,Refused
80,13/11/2017,1.54pm,N,N/A,N/A,7/12/2017,3.47pm,Refused
81,13/11/2017,12.17pm,Y,11/12/2017 1.51pm,25,7/2/2018,4.34pm,Released in part
82,16/11/2017,1.39pm,N,N/A,N/A,29/11/2017,1.56pm,Released in part
83,27/11/2017,4.25pm,Y,16/01/2018 2.25pm,30,22/2/2018,3.27pm,Released in part
84,27/11/2017,3.04pm,Y,16/01/2018 2.13pm,30,22/2/2018,3.26pm,Released in part
85,27/11/2017,2.12pm,N,N/A,N/A,15/1/2018,4.12pm,Released in part
86,28/11/2017,5.18pm,Y,16/01/2018 2.30pm,25,22/2/2018,3.28pm,Released in part
87,29/11/2017,4.54pm,N,N/A,N/A,21/12/2017,4.10pm,Released in part
88,29/11/2017,8.57pm,Y,18/01/2018 4.21pm,30,"13/12/17 11.23am part transfer 
18/01/2018 4.21pm part reply and extension 
02/03/2018 4.36pm part reply",,Part transfer and part release
89,30/11/2017,5.06pm,N,N/A,N/A,21/12/2017,3.39pm,Refused
90,30/11/2017,5.00pm,Y,19/01/2018 12.05pm,20,19/2/2018,3.57pm,Released in part
91,4/12/2017,3.09pm,Y,23/01/2018 4.34pm,25,28/2/2018,5.38pm,Released in part
92,4/12/2017,8.46am,N,N/A,N/A,20/12/2017,2.50pm,Refused
93,4/12/2017,unknown,N,N/A,N/A,20/12/2017,unknown,Released in full
94,8/12/2017,11.21am,Y,29/01/2018 time unknown,40,22/3/2018,unknown,Released in part
95,11/12/2017,10.39am,Y,30/01/2018 3.22pm,30,22/2/2018,3.28pm,Refused
96,11/12/2017,3.49pm,N,N/A,N/A,11/1/2018,1.32pm,Refused
97,13/12/2017,8.23pm,Y,1/02/2018 10.23am,15,22/2/2018,3.28pm,Released in part
98,17/12/2017,unknown,N,N/A,N/A,5/2/2018,3.53pm,Released in part
99,18/12/2017,10.08am,N,N/A,N/A,11/1/2018,1.23pm,Refused
100,19/12/2017,4.35pm,N,N/A,N/A,2/2/2018,3.29pm,Released in part
101,20/12/2017,1.39pm,N,N/A,N/A,26/1/2018,4.49pm,Released in part
102,20/12/2017,6.02pm,N,N/A,N/A,2/2/2018,4.09pm,Refused
103,20/12/2017,8.39am,Y,9/02/2018 4.45pm,30,2/5/2018,3.57pm,Released in part
104,20/12/2017,8.39am,Y,9/02/2018 4.45pm,30,2/5/2018,3.57pm,Released in part
105,27/12/2017,7.43pm,Y,13/02/2018 4.43pm,20,13/3/2018,5.09pm,Released in part
106,30/12/2017,12.12pm,N,N/A,N/A,12/2/2018,3.43pm,Refused but invited to meet