No,Date Received,,Date Responded,,Extended,Date Time Extension was communicated,Days,Outcome
,,,,,Yes/No,,extended,
1.      ,"Wednesday, 6 July 2016",1:50pm,"Thursday, 21 July 2016",10:43am,,,,Partial Transfer
,,,,,,,,Released in full
2.      ,"Monday, 4 July 2016",6:48pm,"Thursday, 14 July 2016",4:40pm,,,,Transferred in full
3.      ,"Friday, 12 July 2016",11:30am,"Wednesday, 27 July 2016",8:52am,,,,Released in full
4.      ,"Tuesday, 12 July 2016",12:07pm,"Thursday, 4 August 2016",Not held,,,,Released in full
5.      ,"Tuesday, 12 July 2016",9:08am,"Tuesday, 9 August 2016",10:44am,,,,Declined  in full
6.      ,"Thursday, 14 July 2016",9:54am,"Friday, 30 September 2016",3:09pm,Yes,"Monday, 8 August 2016",37,Released in part
7.      ,"Thursday, 6 October 2016",7:59pm,"Wednesday, 9 November 2016",1:09pm,Yes,"Friday, 4 November 2016",4,Released in part
8.      ,"Friday, 14 October 2016",10:16am,"Friday, 14 October 2016",Post,,,,Released in part
9.      ,"Friday, 5 August 2016",Post,"Tuesday, 30 August 2016",Post,,,,Partial transfer
,,,,,,,,Release in full
10.    ,"Monday, 25 July 2016",4:43pm,"Wednesday, 3 August 2016",3:55pm,,,,Released in full
11.    ,"Monday, 19 September 2016",Post,"Monday, 26 September 2016",11:42am,,,,Released in full
12.    ,"Friday, 4 November 2016",2:16pm,"Friday, 25 November 2016",2:00pm,,,,Refused in part
13.    ,"Tuesday, 15 November 2016",12:33pm,"Thursday, 22 December 2016",12:25pm,Yes,"Wednesday, 7 December 2016",8,Released in part
14.    ,"Wednesday, 10 May 2017",5:02pm,"Monday, 19 June 2017",2:32pm,Yes,"Friday, 2 June 2017",8,Released in full
15.    ,"Tuesday, 9 August 2016",2:58pm,"Friday, 30 September 2016",9:33am,Yes,"Tuesday, 6 September 2016",19,Released in part
16.    ,"Thursday, 1 December 2016",Post,"Friday, 23 December 2016",Post,,,,Declined in part
17.    ,"Wednesday, 1 July 2016",Not Held,"Friday, 19 August 2016",Not Held,Yes,"Monday, 1 August 2016",16,Released in full
18.    ,"Tuesday, 13 September 2016",2:06pm,"Monday, 3 October 2016",12:13pm,,,,Released in part
19.    ,"Thursday, 6 October 2016",5:34pm,"Wednesday, 26 October 2016",10:14am,,,,Released in full
20.    ,"Tuesday, 5 July 2016",3:06pm,"Monday, 5 September 2016",Not Held,Yes,"Friday, 29 July 2016",25,Released in part
21.    ,"Tuesday, 23 August 2016",11:00am,"Wednesday, 31 August 2016",Not Held,,,,Released in part
22.    ,"Friday, 7 October 2016",Post,"Tuesday, 8 November 2016",Post,,,,Declined in full
23.    ,"Monday, 9 January 2017",9:59am,"Thursday, 9 February 2017",12:06pm,,,,Declined in full
24.    ,"Wednesday, 23 November 2016",4:03pm,"Tuesday, 29 November 2016",1:27pm,,,,Transferred in full
25.    ,"Tuesday, 29 November 2016",Post,"Tuesday, 29 November 2016",Post,,,,Released in full
26.    ,"Thursday, 1 December 2016",4:12pm,"Wednesday, 18 January 2017",10:57am,,,,Released in part
27.    ,"Monday, 5 December 2016",9:13pm,"Thursday, 22 December 2016",9:34am,,,,Released in part
28.    ,"Tuesday, 12 December 2016",8:25pm,"Thursday, 26 January 2017",3:22pm,,,,Released in full
29.    ,"Tuesday, 13 December 2016",3:44pm,"Friday, 17 February 2017",4:55pm,Yes,"Friday, 27 January 2017",12,Released in part
30.    ,"Tuesday, 20 December 2016",Not Held,"Tuesday, 7 February 2017",2:23pm,,,,Declined in part
31.    ,"Thursday, 5 January 2017",Post,"Monday, 16 January 2017",Post,,,,Released in full
32.    ,"Tuesday, 17 January 2017",5:42pm,"Tuesday, 7 February 2017",Not Held,,,,Released in full
33.    ,"Tuesday, 24 January 2017",Post,"Wednesday, 25 January 2017",Post,,,,Transferred in full
34.    ,"Wednesday, 25 January 2017",Not Held,"Thursday, 23 March 2017",2:05pm,Yes,"Tuesday, 14 February 2017",21,Released in full
35.    ,"Friday, 27 January 2017",1:36pm,"Tuesday, 14 February 2017",3:20pm,,,,Released in full
36.    ,"Monday, 30 January 2017",2:51pm,"Thursday, 9 February 2017",9:58am,,,,Released in full
37.    ,"Wednesday, 8 February 2017",3:09pm,"Friday, 24 February 2017",1:03pm,,,,Released in full
38.    ,"Friday, 10 February 2017",9:53pm,"Friday, 17 February 2017",3:00pm,,,,Released in full
39.    ,"Monday, 13 February 2017",8:44pm,"Wednesday, 15 February 2017",9:24am,,,,Released in full
40.    ,"Tuesday, 7 February 2017",Post,"Monday, 13 February 2017",Post,,,,Transferred in full
41.    ,"Monday, 13 February 2017",10:57am,"Wednesday, 15 February 2017",9:11am,,,,Released in full
42.    ,"Friday, 24 February 2017",1:53pm,"Monday, 20 March 2017",1:46pm,,,,Released in full
43.    ,"Saturday, 25 February 2017",6:04pm,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",7,Released in full
44.    ,"Monday, 27 February 2017",9:38am,"Friday, 21 April 2017",10:11am,Yes,"Monday, 20 March 2017",18,Released in Part
45.    ,"Monday, 27 February 2017",12:45pm,"Tuesday, 4 April 2017",,Yes,"Tuesday, 21 March 2017",7,Released in full
46.    ,"Monday, 27 February 2017",1:15pm,"Thursday, 2 March 2017",3:11pm,,,,Released in full
47.    ,"Wednesday, 8 February 2017",9:53am,"Tuesday, 4 April 2017",9:37am,Yes,1-Mar-17,20,Released in full
48.    ,"Thursday, 2 March 2017",4:57pm,"Wednesday, 8 March 2017",Not Held,,,,Declined in full
49.    ,"Monday, 6 March 2017",4:13pm,"Thursday, 13 April 2017",1:13pm,Yes,"Wednesday, 29 March 2017",9,Released in full
50.    ,"Tuesday, 14 March 2017",10:04am,"Monday, 20 March 2017",Not Held,,,,Transferred in full
51.    ,"Saturday, 11 March 2017",6:35pm,"Monday, 24 April 2017",11:01am,Yes,"Monday, 3 April 2017",9,Released in part
52.    ,"Friday, 17 March 2017",9:19am,"Tuesday, 21 March 2017",12:09pm,,,,Declined in full
53.    ,"Tuesday, 21 March 2017",11:00am,"Wednesday, 24 May 2017",,Yes,"Thursday, 13 April 2017",46,Released in part
,,,"Monday, 26 June 2017",,,,,
54.    ,"Friday, 3 March 2017",6:04pm,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",3,Released in part
55.    ,"Thursday, 2 March 2017",2:52pm,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",4,Released in part
56.    ,"Wednesday, 1 March 2017",Not Held,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",5,Released in part
57.    ,"Wednesday, 1 March 2017",12:42pm,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",5,Released in part
58.    ,"Wednesday, 1 March 2017",12:46pm,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",5,Released in part
59.    ,"Wednesday, 1 March 2017",10:39am,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",5,Released in part
60.    ,"Wednesday, 1 March 2017",10:30am,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",5,Released in part
61.    ,"Friday, 3 March 2017",10:12am,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",3,Released in part
62.    ,"Monday, 6 March 2017",Post,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",2,Released in part
63.    ,"Wednesday, 8 March 2017",Not Held,"Tuesday, 4 April 2017",3:09pm,,,,Released in part
64.    ,"Friday, 10 March 2017",Not Held,"Tuesday, 4 April 2017",3:09pm,,,,Released in part
65.    ,"Wednesday, 1 March 2017",Not Held,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",5,Released in part
66.    ,"Tuesday, 7 March 2017",Not Held,"Tuesday, 4 April 2017",3:09pm,,,,Released in part
67.    ,"Tuesday, 7 March 2017",Not Held,"Tuesday, 4 April 2017",3:09pm,,,,Released in part
68.    ,"Monday, 6 March 2017",Post,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",2,Released in part
69.    ,"Monday, 6 March 2017",Not Held,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",2,Released in part
70.    ,"Friday, 3 March 2017",Not Held,"Tuesday, 4 April 2017",3:09pm,Yes,"Tuesday, 21 March 2017",3,Released in part
71.    ,"Wednesday, 29 March 2017",Not Held,"Tuesday, 4 April 2017",3:09pm,,,,Released in part
72.    ,"Friday, 10 March 2017",3:39pm,"Tuesday, 4 April 2017",3:09pm,,,,Released in part
73.    ,"Wednesday, 12 April 2017",3:42pm,"Friday, 21 April 2017",3:36pm,,,,Declined in full
74.    ,"Tuesday, 18 April 2017",7:33pm,"Wednesday, 19 April 2017",10:57am,,,,Transferred in full
75.    ,"Wednesday, 26 April 2017",3:55pm,"Monday, 1 May 2017",2:24pm,,,,Withheld in full
76.    ,"Monday, 1 May 2017",5:30pm,"Tuesday, 2 May 2017",1:16pm,,,,Transfer in full
77.    ,"Thursday, 4 May 2017",Post,"Thursday, 11 May 2017",11:07am,,,,Released in full
78.    ,"Friday, 5 May 2017",3:52pm,"Tuesday, 27 June 2017",3:05pm,Yes,"Thursday, 1 June 2017",17,Released in part
79.    ,"Thursday, 11 May 2017",8:51am,"Monday, 15 May 2017",1:09pm,,,,Declined in full
80.    ,"Monday, 22 May 2017",12:48pm,"Thursday, 25 May 2017",1:08pm,,,,Declined in full
81.    ,"Monday, 22 May 2017",1:06pm,"Wednesday, 21 June 2017",8:04pm,Yes,"Tuesday, 20 June 2017",2,Released in full
82.    ,"Wednesday, 24 May 2017",9:07am,"Tuesday, 6 June 2017",11:25am,,,,Released in full
83.    ,"Friday, 2 June 2017",9:44am,"Thursday, 15 June 2017",3:15pm,,,,Transferred in full
84.    ,"Friday, 2 June 2017",2:03pm,"Tuesday, 27 June 2017",10:16am,,,,Released in full
85.    ,"Tuesday, 6 June 2017",10:58am,"Tuesday, 27 June 2017",3:25pm,,,,Released in full
86.    ,"Wednesday, 10 August 2016",Post,"Wednesday, 7 September 2016",Post,,,,Released in full
87.    ,"Monday, 25 July 2016",Post,"Friday, 19 August 2016",Post,,,,Released in full
88.    ,"Monday, 1 August 2016",4:46pm,"Tuesday, 9 August 2016",Not Held,,,,Released in part
89.    ,"Friday, 12 August 2016",2:56pm,"Friday, 19 August 2016",3:31pm,,,,Released in part
90.    ,"Wednesday, 14 June 2017",2:49pm,"Tuesday, 4 July 2017",10:44am,,,,Released in full
91.    ,"Friday, 23 June 2017",10:52pm,"Thursday, 6 July 2017",10:45am,,,,Released in part
92.    ,"Thursday, 29 June 2017",2:56pm,"Wednesday, 26 July 2017",8:19am,,,,Released in part
93.    ,"Tuesday, 13 June 2017",12:41pm,"Friday, 28 July 2017",1:59pm,Yes,"Friday, 7 July 2017",14,Released in part
94.    ,"Friday, 9 June 2017",10:12am,"Tuesday, 25 July 2017",10:53am,Yes,"Thursday, 6 July 2017",13,Released in part
95.    ,"Monday, 19 June 2017",11:00am,"Friday, 28 July 2017",2:01pm,Yes,"Wednesday, 12 July 2017",10,Released in part
96.    ,"Friday, 30 June 2017",2:26pm,"Tuesday, 11 July 2017",2:18pm,,,,Withheld in full